Temp,DO,pH,BOD,NITRATE_N_NITRITE_N,WQI
27.6,6.5,7.7,5.7,0.3,9.0796
22.1,5.2,7.9,4.5,2.2,7.9118
21.6,4.7,7.9,3.4,1.2,7.3092
21.9,5.5,8,3.7,1.1,7.6477
22.7,5.4,8.1,3.6,1,7.7372
21.3,4.9,7.9,3.4,0.6,7.2144
25,5.8,8.3,8.5,2.6,9.4609
24.6,5.1,8.3,9.5,3.2,9.4794
25.3,4.9,8.4,12.8,11.7,11.6131
31.2,5.2,8.3,9.8,2.3,10.5268
31.1,4.7,8.2,11.2,2.3,10.6077
28.9,7,8,1.5,4.9,9.4976
27.5,7.1,7.9,1.5,1,8.6102
27.5,6.8,7.4,4.5,0.2,8.8532
28.5,6.6,7.7,1.2,0.6,8.4744
28.5,6.9,8,3.3,2.1,9.2614
27,7.1,7.9,4,1.5,9.0754
25.8,7.2,7.9,2.4,0.1,8.3665
26.1,7,8,2.9,0.3,8.5051
29.9,7.2,7.9,1.9,0.2,8.9834
27,6.5,7.9,6,0.4,9.0882
26.9,6.5,7.9,4,0.2,8.6654
26.5,6.7,8,3.6,0.2,8.5996
29.8,7.2,8.1,1.9,0.2,9.0037
26.1,7.2,7.9,2.7,0.1,8.47305
26.2,7.2,7.9,2.9,0.1,8.5271
27.7,7.1,8.1,2.2,2.5,9.0656
27,6.9,8.2,3,3.1,9.1588
27.6,6,7.8,3.5,0.2,8.5281
28.5,6.4,8,3.3,0.3,8.8123
21.8,5.5,13.7,1,0.1,8.0193
29.5,5.8,7.7,4.2,0.2,8.9032
28.8,6,7.8,3.3,0.2,8.6937
29.6,6.5,8,2,0.2,8.7683
21.5,5.5,7.4,1,0.1,6.7968
17,6,8,4.3,0,6.8888
17,0,7.4,59,0,15.2234
17.2,0.2,7.5,69,0,17.1934
28.6,5.4,8.2,2.1,2.6,8.7451
25.5,6.9,8,0.9,0.6,8.0538
24,6.6,8.3,0.7,0.5,7.7155
29.1,6.9,8.3,2.6,0.3,8.9833
29,6.8,8.4,2.6,0.4,8.9732
28.3,4.8,7.9,5.6,10.3,10.4219
27,6.8,7.8,3.6,5,9.4893
27.3,7,8.1,1.3,0.9,8.5306
